cell_id,lon,lat,x_m,y_m,elevation_mean,elevation_std,elevation_min,elevation_max,slope_mean,slope_std,slope_min,slope_max,roughness_mean,roughness_std,roughness_min,roughness_max,elevation_error_mean,elevation_error_std,elevation_error_min,elevation_error_max,crater_count,crater_coverage_pct,crater_mean_diameter_m,crater_max_diameter_m,avg_illumination_pct,earth_visibility_pct
0,-7.302691609427805,-80.0006486203261,-38640.0,301520.0,1825.18896484375,392.9856262207031,1026.781982421875,2459.128173828125,,,,,,,,,,,,,0,0.0,0.0,0.0,,
1,-6.373559501448634,-80.01997706883719,-33680.0,301520.0,2186.85693359375,180.86404418945312,1669.94384765625,2473.850341796875,,,,,,,,,,,,,0,0.0,0.0,0.0,,
2,-5.441049420910099,-80.03668501658414,-28720.0,301520.0,1343.13720703125,338.4019775390625,702.2902221679688,2040.7176513671875,,,,,,,,,,,,,0,0.0,0.0,0.0,,
3,-4.505639375258842,-80.0507589906595,-23760.0,301520.0,689.60400390625,51.000728607177734,622.0559692382812,1004.6322631835938,,,,,,,,,,,,,0,0.0,0.0,0.0,,
4,-3.567816526803314,-80.06218757217985,-18800.0,301520.0,658.7821655273438,59.56570816040039,439.7184753417969,756.3805541992188,,,,,,,,,,,,,0,0.0,0.0,0.0,,
5,-2.6280757202317457,-80.07096144119981,-13840.0,301520.0,1026.0469970703125,265.8736267089844,607.6229858398438,1566.260986328125,,,,,,,,,,,,,0,0.0,0.0,0.0,,
6,-1.6869179495687951,-80.07707341368804,-8880.0,301520.0,1834.4599609375,217.6157989501953,1386.035400390625,2240.125732421875,,,,,,,,,,,,,0,0.0,0.0,0.0,,
7,-0.7448487761640188,-80.08051847022463,-3920.0,301520.0,2338.376953125,143.74888610839844,2025.7098388671875,2596.327880859375,,,,,,,,,,,,,0,0.0,0.0,0.0,,
8,0.19762328997194403,-80.08129377615282,1040.0,301520.0,2589.876708984375,137.9293212890625,2058.449951171875,2747.7529296875,,,,,,,,,,,,,0,0.0,0.0,0.0,,
9,1.1399884326211303,-80.07939869299639,6000.0,301520.0,2601.132568359375,53.08368682861328,2466.79638671875,2776.03076171875,,,,,,,,,,,,,0,0.0,0.0,0.0,,
10,2.081737182382402,-80.07483478103482,10960.0,301520.0,2432.965576171875,206.30078125,2012.502685546875,2782.97802734375,,,,,,,,,,,,,0,0.0,0.0,0.0,,
11,3.022362066887101,-80.06760579301233,15920.0,301520.0,2087.615478515625,21.942909240722656,2031.7740478515625,2229.666015625,,,,,,,,,,,,,0,0.0,0.0,0.0,,
12,3.9613592448696924,-80.05771765903998,20880.0,301520.0,2307.637451171875,158.180908203125,2085.72900390625,2664.886474609375,,,,,,,,,,,,,0,0.0,0.0,0.0,,
13,4.898230110999939,-80.04517846283265,25840.0,301520.0,2330.01416015625,91.6279525756836,2137.287353515625,2562.390380859375,,,,,,,,,,,,,0,0.0,0.0,0.0,,
