cell_id,lon,lat,x_m,y_m,elevation_mean,elevation_std,elevation_min,elevation_max,slope_mean,slope_std,slope_min,slope_max,roughness_mean,roughness_std,roughness_min,roughness_max,elevation_error_mean,elevation_error_std,elevation_error_min,elevation_error_max,crater_count,crater_coverage_pct,crater_mean_diameter_m,crater_max_diameter_m,avg_illumination_pct,earth_visibility_pct
0,-3.1078946699376018,-80.00126118750603,-16480.0,303520.0,705.7361450195312,16.583690643310547,683.349853515625,759.8165893554688,4.906163692474365,2.2609975337982178,1.001516342163086,10.542505264282227,,,,,,,,,1,8.333333333333332,312.70560761786874,312.70560761786874,,
1,-2.927176829275374,-80.00291510343857,-15520.0,303520.0,801.6813354492188,41.54372787475586,718.3270263671875,910.6423950195312,8.946422576904297,1.9256293773651123,4.841940402984619,13.311882972717285,,,,,,,,,0,0.0,0.0,0.0,,
2,-2.746400677344225,-80.0044700390234,-14560.0,303520.0,954.3327026367188,55.45637130737305,833.4396362304688,1067.8570556640625,11.77234935760498,1.047261357307434,9.362654685974121,14.172359466552734,,,,,,,,,0,0.0,0.0,0.0,,
3,-2.5655697868059977,-80.00592594711799,-13600.0,303520.0,1151.6417236328125,60.03205490112305,1033.450927734375,1262.206787109375,12.25496768951416,1.7907514572143555,8.649959564208984,15.710054397583008,,,,,,,,,0,0.0,0.0,0.0,,
4,-2.384687736848262,-80.00728278355577,-12640.0,303520.0,1325.5841064453125,51.91511154174805,1238.1865234375,1427.0477294921875,10.823541641235352,2.412074089050293,4.458250999450684,16.10171890258789,,,,,,,,,0,0.0,0.0,0.0,,
5,-2.203758112762976,-80.0085405071524,-11680.0,303520.0,1477.2620849609375,56.94859313964844,1394.6612548828125,1596.810791015625,12.05213737487793,3.87345290184021,2.39524245262146,19.771272659301758,,,,,,,,,0,0.0,0.0,0.0,,
6,-2.0227845055233495,-80.00969907971212,-10720.0,303520.0,1736.2122802734375,85.74829864501953,1573.48291015625,1871.3673095703125,16.88112449645996,2.4529969692230225,10.525392532348633,20.570314407348633,,,,,,,,,0,0.0,0.0,0.0,,
7,-1.841770511359003,-80.0107584660334,-9760.0,303520.0,1893.283447265625,37.19610595703125,1802.2830810546875,1958.0135498046875,10.296658515930176,3.446329116821289,3.513742685317993,16.885169982910156,,,,,,,,,1,35.41666666666667,644.6591249657116,644.6591249657116,,
8,-1.6607197313295605,-80.01171863391404,-8800.0,303520.0,1937.8443603515625,78.43692779541016,1795.1748046875,2088.2236328125,16.069974899291992,2.7204432487487793,3.5930087566375732,19.026212692260742,,,,,,,,,1,2.7777777777777777,180.540666735282,180.540666735282,,
9,-1.479635770896809,-80.01257955415606,-7840.0,303520.0,2137.703125,37.612911224365234,2042.513427734375,2205.350341796875,9.326099395751953,2.9685823917388916,4.075926780700684,16.051321029663086,,,,,,,,,1,38.19444444444444,669.4627097507204,669.4627097507204,,
10,-1.2985222394955316,-80.01334120056997,-6880.0,303520.0,2214.5,21.761938095092773,2151.104248046875,2240.125732421875,7.13118839263916,3.3054656982421875,1.2793561220169067,18.267234802246094,,,,,,,,,1,22.22222222222222,510.64611891383385,510.64611891383385,,
11,-1.1173827501031615,-80.01400354997884,-5920.0,303520.0,2221.32177734375,33.94444274902344,2149.130859375,2297.900390625,8.750186920166016,3.385406732559204,2.113942861557007,15.19776725769043,,,,,,,,,1,47.22222222222222,744.3882386690045,744.3882386690045,,
12,-0.9362209188083709,-80.01456658222159,-4960.0,303520.0,2262.819580078125,22.72797966003418,2197.9462890625,2300.8125,6.575346946716309,3.1325862407684326,1.2375175952911377,15.471863746643066,,,,,,,,,1,40.97222222222222,693.3795873055375,693.3795873055375,,
13,-0.7550403643787308,-80.01503028015598,-4000.0,303520.0,2222.3056640625,21.72671890258789,2155.724609375,2259.947265625,6.951519966125488,2.8985376358032227,1.576407551765442,13.418610572814941,,,,,,,,,1,50.69444444444444,771.270066384187,771.270066384187,,
14,-0.573844707827567,-80.0153946296613,-3040.0,303520.0,2115.421875,50.60736083984375,2027.66943359375,2237.05859375,10.688624382019043,2.7165284156799316,2.656589984893799,16.185087203979492,,,,,,,,,1,1.3888888888888888,127.66152972845846,127.66152972845846,,
15,-0.39263757198014393,-80.01565961964037,-2080.0,303520.0,2057.8037109375,32.7950553894043,2025.7098388671875,2167.412353515625,7.970019817352295,5.068488597869873,1.1125975847244263,16.708362579345703,,,,,,,,,0,0.0,0.0,0.0,,
16,-0.21142258103930395,-80.01582524202132,-1120.0,303520.0,2132.9833984375,56.516666412353516,2049.20947265625,2279.0576171875,11.523794174194336,4.665253639221191,3.786839723587036,19.683746337890625,,,,,,,,,0,0.0,0.0,0.0,,
